name,latitude,longitude
エントランス右,35.634549,139.878671
エントランス左,35.634867,139.880034
カリブの海賊,35.634675,139.880436
シアターオーリンズ,35.634330,139.881354
ジャングルクルーズ,35.633899,139.882072
リバーサイド鉄道,35.633863,139.881650
ビッグサンダー,35.632640,139.883516
プラザパビリオン,35.632660,139.881323
いかだのりば,35.632148,139.883696
ピーターパン,35.632167,139.882100
トムソーヤ島船着場,35.631651,139.883775
トムソーヤ島砦,35.631720,139.884872
スプラッシュマウンテン,35.630473,139.883213
ホーンテッドマンション,35.631183,139.881578
ピノキオ,35.630942,139.880450
スティッチ・エンカウンター,35.632185,139.878759
トゥーンタウン,35.629920,139.879669
美女と野獣,35.631384,139.878834
モンスターズインク,35.633563,139.878803
